Surah,Ayah,Tags,Category,Emotion,Context
14,36,"Prophethood, Dua, Mercy, Guidance, Misguidance, Forgiveness, Faith, Disbelief","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Repentance,Spiritual reminder
14,37,"Dua, Prayer, Gratitude, Family, Guidance, Mercy, Prophethood","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Gratitude, Love of Allah, Awe",Makki Revelation
14,38,"Tawheed, Knowledge, Dua, Faith","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Awe,Spiritual reminder
14,39,"Gratitude, Prophethood, Family, Dua, Mercy","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Gratitude,Spiritual reminder
14,40,"Prayer, Dua, Family, Faith, Guidance","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Hope,Spiritual reminder
14,41,"Dua, Forgiveness, Family, Accountability, Mercy, Faith","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Hope,Eschatological context
14,42,"Accountability, Punishment, Justice, Fear, Guidance, Disbelief, Hypocrisy",Eschatology (Akhirah),Fear,Eschological context
14,43,"Resurrection, Accountability, Fear, Hell, Punishment",Eschatology (Akhirah),Fear,Eschological context
14,44,"Punishment, Accountability, Resurrection, Hell, Fear, Disbelief, Prophethood, Guidance, Misguidance",Eschatology (Akhirah),Fear,Eschological context
14,45,"Lessons from history, Punishment, Guidance, Nations, Disbelief, Justice",History & Stories (Qasas al-Anbiya),Awe,Spiritual reminder
14,46,"Power, Mercy, Punishment, Disbelief, Lessons from history",Divine Attributes & Signs (Asma wa Sifat),Awe,Historical story
14,47,"Prophethood, Punishment, Power, Fear, Accountability",Eschatology (Akhirah),Fear,Eschological context
14,48,"Resurrection, Accountability, Tawheed, Power, Heaven, Hell",Eschatology (Akhirah),Awe,Eschological context
14,49,"Hell, Punishment, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
14,50,"Hell, Punishment, Disbelief, Accountability",Eschatology (Akhirah),Fear,Eschological context
14,51,"Accountability, Reward, Punishment, Justice, Power, Wisdom",Eschatology (Akhirah),Fear,Eschological context
14,52,"Tawheed, Revelation, Guidance, Knowledge, Wisdom",Faith (Aqeedah),Awe,Spiritual reminder
15,1,"Revelation, Guidance, Tawheed",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
15,2,"Disbelief, Faith, Hell, Punishment, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
15,3,"Disbelief, Misguidance, Punishment, Hope, Fear",Eschatology (Akhirah),Fear,Makki Revelation
15,4,"Lessons from history, Punishment, Accountability, Nations",History & Stories (Qasas al-Anbiya),Awe,Makki Revelation
15,5,"Nations, Lessons from history, Accountability, Resurrection",Eschatology (Akhirah),Awe,Makki Revelation
15,6,"Prophethood, Revelation, Disbelief, Misguidance",Faith (Aqeedah),Anger at Injustice,Makki Revelation
15,7,"Prophethood, Disbelief, Revelation, Prophets, Lessons from history",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
15,8,"Revelation, Prophethood, Divine Attributes & Signs, Justice, Accountability",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
15,9,"Revelation, Tawheed, Guidance, Mercy, Knowledge, Power",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
15,10,"Prophethood, Prophets, Nations, Lessons from history, Guidance, Disbelief",History & Stories (Qasas al-Anbiya),Awe,Makki Revelation
15,11,"Prophethood, Disbelief, Lessons from history, Nations, Misguidance",History & Stories (Qasas al-Anbiya),Sadness,Historical story
15,12,"Misguidance, Disbelief, Punishment, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Fear,Makki Revelation
15,13,"Disbelief, Lessons from history, Prophethood, Misguidance",History & Stories (Qasas al-Anbiya),Sadness,Makki Revelation
15,14,"Disbelief, Misguidance, Power, Heaven, Revelation",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
15,15,"Disbelief, Misguidance, Prophethood, Lessons from history",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
15,16,"Tawheed, Divine Attributes & Signs, Power, Wisdom, Guidance",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
15,17,"Revelation, Mercy, Guidance, Power",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
15,18,"Revelation, Misguidance, Divine Attributes & Signs",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
15,19,"Tawheed, Divine Attributes & Signs, Power, Wisdom, Gratitude",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
15,20,"Tawheed, Mercy, Power, Gratitude",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
15,21,"Tawheed, Power, Knowledge, Mercy, Guidance",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
15,22,"Tawheed, Mercy, Power, Gratitude, Guidance",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
15,23,"Tawheed, Power, Mercy, Resurrection, Accountability",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
15,24,"Knowledge, Power, Accountability, Resurrection",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
15,25,"Resurrection, Accountability, Divine Attributes, Power, Wisdom, Knowledge",Eschatology (Akhirah),Awe,Eschatological context
15,26,"Tawheed, Knowledge, Power, Wisdom",Faith (Aqeedah),Awe,Makki Revelation
15,27,"Tawheed, Prophets, Nations, Lessons from history",Faith (Aqeedah),Awe,Makki Revelation
15,28,"Tawheed, Prophets, Creation, Divine Power",Faith (Aqeedah),Awe,Makki Revelation
15,29,"Tawheed, Prophethood, Divine Attributes & Signs, Creation of Adam, Angels",Faith (Aqeedah),Awe,Makki Revelation
15,30,"Tawheed, Prophets, Angels, Humility, Worship",Faith (Aqeedah),Awe,Historical story
15,31,"Disbelief, Prophets, Guidance, Misguidance, Humility, Faith",Faith (Aqeedah),Awe,Historical story
15,32,"Tawheed, Prophethood, Disbelief, Guidance, Misguidance, Humility, Faith",Faith (Aqeedah),Awe,Historical story
15,33,"Tawheed, Disbelief, Prophets, Power, Humility",Faith (Aqeedah),Determination,Historical story
15,34,"Disbelief, Punishment, Prophets, Lessons from history, Hell, Power, Wisdom",History & Stories (Qasas al-Anbiya),Fear,Historical story
15,35,"Punishment, Hell, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschatological context
15,36,"Dua, Resurrection, Accountability, Fear, Hope","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Fear,Eschatological context
15,37,"Prophets, Lessons from history, Disbelief, Punishment, Mercy",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,38,"Resurrection, Accountability, Punishment, Fear, Divine Decree",Eschatology (Akhirah),Fear,Eschatological context
15,39,"Disbelief, Misguidance, Power, Punishment, Prophets, Lessons from history",History & Stories (Qasas al-Anbiya),Determination,Historical story
15,40,"Dua, Mercy, Guidance, Faith, Hope","Supplication & Spiritivity (Dua, Dhikr, Tazkiyah)",Hope,Spiritual reminder
15,41,"Guidance, Tawheed, Divine Attributes & Signs",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
15,42,"Tawheed, Prophethood, Guidance, Misguidance, Faith, Disbelief, Power, Mercy",Faith (Aqeedah),Awe,Spiritual reminder
15,43,"Hell, Punishment, Disbelief, Accountability",Eschatology (Akhirah),Fear,Eschological context
15,44,"Hell, Punishment, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
15,45,"Heaven, Reward, Faith, Hope",Eschatology (Akhirah),Hope,Eschological context
15,46,"Heaven, Peace, Reward, Mercy, Hope",Eschatology (Akhirah),Hope,Eschological context
15,47,"Heaven, Brotherhood, Mercy, Reward, Kindness",Eschatology (Akhirah),Joy,Eschological context
15,48,"Heaven, Reward, Mercy, Hope",Eschatology (Akhirah),Hope,Eschological context
15,49,"Tawheed, Mercy, Forgiveness, Prophethood, Revelation",Divine Attributes & Signs (Asma wa Sifat),"Hope, Comfort, Love of Allah",Spiritual reminder
15,50,"Punishment, Power, Fear, Hell",Divine Attributes & Signs (Asma wa Sifat),Fear,Spiritual reminder
15,51,"Prophets, Lessons from history, Kindness, Family, Society",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,52,"Prophethood, Prophets, Fear, Kindness, Lessons from history",History & Stories (Qasas al-Anbiya),Fear,Historical story
15,53,"Prophethood, Prophets, Hope, Revelation, Mercy",History & Stories (Qasas al-Anbiya),Hope,Historical story
15,54,"Prophethood, Prophets, Hope, Faith, Kindness",History & Stories (Qasas al-Anbiya),Hope,Historical story
15,55,"Prophethood, Hope, Faith, Revelation, Prophets",History & Stories (Qasas al-Anbiya),Hope,Historical story
15,56,"Prophets, Mercy, Hope, Faith, Guidance",Faith (Aqeedah),Hope,Spiritual reminder
15,57,"Prophethood, Revelation, Prophets, Dua",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,58,"Prophets, Nations, Punishment, Lessons from history",History & Stories (Qasas al-Anbiya),Determination,Historical story
15,59,"Prophets, Nations, Lessons from history, Mercy, Punishment, Hope",History & Stories (Qasas al-Anbiya),Hope,Historical story
15,60,"Prophets, Lessons from history, Punishment, Mercy, Disbelief",History & Stories (Qasas al-Anbiya),Sadness,Historical story
15,61,"Prophethood, Prophets, Nations, Lessons from history",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,62,"Prophets, Nations, Lessons from history, Disbelief, Misguidance",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
15,63,"Prophethood, Revelation, Prophets, Lessons from history, Disbelief",History & Stories (Qasas al-Anbiya),Determination,Historical story
15,64,"Prophethood, Revelation, Honesty, Faith",Faith (Aqeedah),Determination,Makki Revelation
15,65,"Prophets, Guidance, Fear, Punishment, Mercy",History & Stories (Qasas al-Anbiya),Fear,Historical story
15,66,"Prophethood, Revelation, Punishment, Lessons from history, Prophets, Nations",History & Stories (Qasas al-Anbiya),Fear,Historical story
15,67,"Prophets, Nations, Lessons from history, Disbelief, Society",History & Stories (Qasas al-Anbiya),Joy,Historical story
15,68,"Prophets, Kindness, Family, Society, Guidance",History & Stories (Qasas al-Anbiya),Determination,Historical story
15,69,"Prophethood, Fear, Guidance, Mercy",Ethics & Morality (Akhlaq),Fear,Historical story
15,70,"Prophethood, Prophets, Lessons from history, Disbelief, Misguidance",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
15,71,"Prophets, Lessons from history, Family, Marriage, Society",History & Stories (Qasas al-Anbiya),Determination,Historical story
15,72,"Prophets, Nations, Lessons from history, Disbelief, Misguidance",History & Stories (Qasas al-Anbiya),Sadness,Historical story
15,73,"Punishment, Lessons from history, Nations, Prophets, Fear, Disbelief",History & Stories (Qasas al-Anbiya),Fear,Historical story
15,74,"Punishment, Lessons from history, Nations, Prophets, Disbelief, Power, Mercy",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,75,"Lessons from history, Guidance, Wisdom, Prophets, Nations",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,76,"Lessons from history, Nations, Guidance, Misguidance",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,77,"Lessons from history, Faith, Guidance, Prophets, Nations",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,78,"Prophets, Nations, Lessons from history, Disbelief, Punishment",History & Stories (Qasas al-Anbiya),Sadness,Historical story
15,79,"Punishment, Lessons from history, Nations, Prophets, Disbelief, Justice",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
15,80,"Prophethood, Disbelief, Nations, Lessons from history, Prophets",History & Stories (Qasas al-Anbiya),Sadness,Historical story
15,81,"Revelation, Disbelief, Prophethood, Lessons from history, Misguidance",History & Stories (Qasas al-Anbiya),Sadness,Historical story
15,82,"Prophets, Nations, Lessons from history, Guidance, Faith",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,83,"Punishment, Nations, Lessons from history, Power, Fear",History & Stories (Qasas al-Anbiya),Fear,Historical story
15,84,"Punishment, Disbelief, Lessons from history, Nations, Prophets",History & Stories (Qasas al-Anbiya),Sadness,Historical story
15,85,"Tawheed, Resurrection, Patience, Forgiveness, Mercy",Eschatology (Akhirah),Patience,Spiritual reminder
15,86,"Tawheed, Knowledge, Power",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
15,87,"Revelation, Prayer, Guidance, Faith",Worship (‘Ibadah),Gratitude,Makki Revelation
15,88,"Humility, Patience, Kindness, Faith, Guidance",Ethics & Morality (Akhlaq),Patience,Spiritual reminder
15,89,"Prophethood, Revelation, Guidance, Fear, Disbelief",Faith (Aqeedah),Determination,Makki Revelation
15,90,"Punishment, Nations, Lessons from history, Disbelief, Power",History & Stories (Qasas al-Anbiya),Fear,Historical story
15,91,"Revelation, Disbelief, Misguidance, Hypocrisy",Faith (Aqeedah),Anger at Injustice,Makki Revelation
15,92,"Accountability, Resurrection, Punishment, Prophethood, Disbelief",Eschatology (Akhirah),Fear,Eschatological context
15,93,"Lessons from history, Punishment, Disbelief, Prophets, Nations",History & Stories (Qasas al-Anbiya),Awe,Historical story
15,94,"Prophethood, Revelation, Guidance, Disbelief, Patience",Faith (Aqeedah),Determination,Makki Revelation
15,95,"Prophethood, Mercy, Guidance, Patience",Faith (Aqeedah),Comfort,Makki Revelation
15,96,"Tawheed, Disbelief, Punishment, Accountability",Faith (Aqeedah),Fear,Makki Revelation
15,97,"Prophethood, Mercy, Comfort, Guidance","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Comfort,Makki Revelation
15,98,"Prayer, Gratitude, Humility, Faith",Worship (‘Ibadah),Gratitude,Spiritual reminder
15,99,"Tawheed, Prayer, Faith, Guidance, Dua",Worship (‘Ibadah),Determination,Spiritual reminder
16,1,"Tawheed, Disbelief, Punishment, Mercy, Fear, Guidance",Faith (Aqeedah),Fear,Makki Revelation
16,2,"Tawheed, Revelation, Prophethood, Guidance, Fear, Mercy",Faith (Aqeedah),Fear,Makki Revelation
16,3,"Tawheed, Divine Attributes & Signs, Power, Wisdom, Disbelief",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
16,4,"Tawheed, Prophethood, Disbelief, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,5,"Tawheed, Gratitude, Mercy, Guidance",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,6,"Gratitude, Mercy, Divine Attributes & Signs",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,7,"Mercy, Kindness, Tawheed, Gratitude",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,8,"Tawheed, Gratitude, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,9,"Guidance, Tawheed, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,10,"Tawheed, Gratitude, Mercy, Power, Guidance",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,11,"Tawheed, Gratitude, Guidance, Mercy, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,12,"Tawheed, Divine Attributes & Signs, Gratitude, Guidance, Knowledge, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,13,"Tawheed, Guidance, Knowledge, Wisdom, Gratitude",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,14,"Tawheed, Gratitude, Mercy, Guidance, Power",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,15,"Tawheed, Guidance, Mercy, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,16,"Guidance, Tawheed, Knowledge, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,17,"Tawheed, Power, Wisdom, Guidance, Disbelief",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,18,"Gratitude, Mercy, Tawheed, Forgiveness",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,19,"Tawheed, Knowledge, Divine Attributes",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,20,"Tawheed, Disbelief, Power, Guidance, Misguidance",Faith (Aqeedah),Awe,Makki Revelation
16,21,"Disbelief, Resurrection, Accountability, Heaven, Hell, Punishment, Faith",Eschatology (Akhirah),Fear,Eschatological context
16,22,"Tawheed, Faith, Disbelief, Hypocrisy, Guidance, Misguidance",Faith (Aqeedah),Awe,Spiritual reminder
16,23,"Tawheed, Knowledge, Hypocrisy, Humility, Disbelief",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,24,"Disbelief, Revelation, Prophethood, Misguidance, Lessons from history",Faith (Aqeedah),Sadness,Makki Revelation
16,25,"Accountability, Punishment, Misguidance, Disbelief, Resurrection, Hell",Eschatology (Akhirah),Fear,Eschological context
16,26,"Lessons from history, Punishment, Power, Disbelief, Nations",History & Stories (Qasas al-Anbiya),Fear,Historical story
16,27,"Tawheed, Disbelief, Punishment, Resurrection, Accountability, Hell, Knowledge, Prophethood",Eschatology (Akhirah),Fear,Eschological context
16,28,"Accountability, Punishment, Disbelief, Hypocrisy, Knowledge, Resurrection, Hell",Eschatology (Akhirah),Fear,Eschological context
16,29,"Hell, Punishment, Disbelief, Misguidance, Humility",Eschatology (Akhirah),Fear,Eschological context
16,30,"Revelation, Faith, Reward, Heaven, Gratitude, Patience, Guidance",Eschatology (Akhirah),Hope,Eschological context
16,31,"Heaven, Reward, Mercy, Faith",Eschatology (Akhirah),Hope,Eschological context
16,32,"Heaven, Reward, Mercy, Faith, Resurrection, Accountability",Eschatology (Akhirah),Hope,Eschological context
16,33,"Disbelief, Punishment, Lessons from history, Prophethood, Accountability, Resurrection, Fear, Guidance",Eschatology (Akhirah),Fear,Makki Revelation
16,34,"Punishment, Lessons from history, Disbelief, Accountability, Nations",History & Stories (Qasas al-Anbiya),Fear,Historical story
16,35,"Tawheed, Prophethood, Disbelief, Lessons from history, Guidance, Misguidance",Faith (Aqeedah),Determination,Makki Revelation
16,36,"Tawheed, Prophethood, Guidance, Misguidance, Lessons from history, Nations, Disbelief, Faith",Faith (Aqeedah),Awe,Spiritual reminder
16,37,"Guidance, Misguidance, Disbelief, Prophethood, Power, Mercy",Faith (Aqeedah),Awe,Spiritual reminder
16,38,"Resurrection, Disbelief, Faith, Knowledge, Power",Eschatology (Akhirah),Awe,Makki Revelation
16,39,"Resurrection, Accountability, Disbelief, Prophethood, Guidance, Punishment",Eschatology (Akhirah),Fear,Eschological context
16,40,"Tawheed, Power, Divine Attributes & Signs",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,41,"Justice, Reward, Mercy, Guidance, Patience, Hope",Eschatology (Akhirah),Hope,Moral teaching context
16,42,"Patience, Faith, Tawheed, Guidance",Faith (Aqeedah),Patience,Spiritual reminder
16,43,"Prophethood, Revelation, Prophets, Knowledge, Guidance",Faith (Aqeedah),Guidance,Makki Revelation
16,44,"Revelation, Prophethood, Guidance, Knowledge, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,45,"Punishment, Fear, Disbelief, Hypocrisy, Power, Accountability",Eschatology (Akhirah),Fear,Spiritual reminder
16,46,"Power, Punishment, Fear, Accountability",Divine Attributes & Signs (Asma wa Sifat),Fear,Spiritual reminder
16,47,"Mercy, Fear, Punishment, Divine Attributes",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,48,"Tawheed, Divine Attributes & Signs, Guidance, Faith, Awe",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,49,"Tawheed, Humility, Faith, Divine Attributes & Signs",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,50,"Fear, Tawheed, Guidance, Accountability, Divine Attributes & Signs",Faith (Aqeedah),Fear,Spiritual reminder
16,51,"Tawheed, Fear, Guidance",Faith (Aqeedah),Fear,Spiritual reminder
16,52,"Tawheed, Fear, Guidance, Disbelief",Faith (Aqeedah),Fear,Spiritual reminder
16,53,"Tawheed, Gratitude, Dua, Mercy, Guidance",Faith (Aqeedah),Gratitude,Spiritual reminder
16,54,"Tawheed, Disbelief, Hypocrisy, Gratitude, Mercy",Faith (Aqeedah),Gratitude,Spiritual reminder
16,55,"Disbelief, Gratitude, Punishment, Lessons from history, Misguidance",Divine Attributes & Signs (Asma wa Sifat),Fear,Spiritual reminder
16,56,"Tawheed, Disbelief, Accountability, Punishment, Misguidance",Faith (Aqeedah),Fear,Spiritual reminder
16,57,"Tawheed, Disbelief, Misguidance",Faith (Aqeedah),Awe,Makki Revelation
16,58,"Family, Disbelief, Misguidance, Fear, Sadness",Ethics & Morality (Akhlaq),Sadness,Moral teaching context
16,59,"Family, Society, Misguidance, Disbelief, Kindness, Justice",Ethics & Morality (Akhlaq),Sadness,Moral teaching context
16,60,"Disbelief, Faith, Heaven, Hell, Divine Attributes, Power, Wisdom",Eschatology (Akhirah),Fear,Spiritual reminder
16,61,"Mercy, Punishment, Accountability, Resurrection, Justice",Eschatology (Akhirah),Fear,Spiritual reminder
16,62,"Disbelief, Hypocrisy, Hell, Punishment, Misguidance, Honesty",Eschatology (Akhirah),Fear,Spiritual reminder
16,63,"Prophethood, Nations, Lessons from history, Misguidance, Punishment, Fear, Guidance",History & Stories (Qasas al-Anbiya),Fear,Historical story
16,64,"Revelation, Guidance, Mercy, Prophethood, Faith",Divine Attributes & Signs (Asma wa Sifat),Hope,Spiritual reminder
16,65,"Tawheed, Mercy, Power, Guidance, Faith",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,66,"Gratitude, Mercy, Wisdom, Guidance",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,67,"Gratitude, Tawheed, Wisdom, Guidance",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,68,"Revelation, Tawheed, Guidance, Mercy, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,69,"Tawheed, Guidance, Mercy, Knowledge, Wisdom, Gratitude",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,70,"Tawheed, Knowledge, Power, Wisdom, Resurrection, Accountability",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,71,"Gratitude, Justice, Kindness, Society, Mercy",Ethics & Morality (Akhlaq),Gratitude,Moral teaching context
16,72,"Tawheed, Family, Marriage, Gratitude, Disbelief, Mercy, Guidance",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,73,"Tawheed, Disbelief, Guidance, Misguidance, Power, Knowledge",Faith (Aqeedah),Awe,Makki Revelation
16,74,"Tawheed, Knowledge, Guidance, Misguidance",Faith (Aqeedah),Awe,Spiritual reminder
16,75,"Tawheed, Justice, Gratitude, Knowledge, Power, Wisdom, Disbelief, Faith",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,76,"Justice, Wisdom, Guidance, Misguidance, Power, Knowledge",Ethics & Morality (Akhlaq),Awe,Moral teaching context
16,77,"Tawheed, Knowledge, Power, Resurrection, Accountability, Fear, Awe",Eschatology (Akhirah),Awe,Spiritual reminder
16,78,"Tawheed, Gratitude, Mercy, Knowledge, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,79,"Tawheed, Guidance, Faith, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
16,80,"Gratitude, Mercy, Power, Wisdom, Family, Society",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Daily life context
16,81,"Tawheed, Gratitude, Mercy, Guidance, Faith",Divine Attributes & Signs (Asma wa Sifat),Gratitude,Spiritual reminder
16,82,"Prophethood, Guidance, Disbelief, Revelation",Faith (Aqeedah),Determination,Makki Revelation
16,83,"Gratitude, Disbelief, Mercy, Guidance, Misguidance",Ethics & Morality (Akhlaq),Sadness,Spiritual reminder
16,84,"Prophethood, Nations, Resurrection, Accountability, Disbelief, Punishment",Eschatology (Akhirah),Fear,Eschological context
16,85,"Punishment, Hell, Accountability, Disbelief, Justice",Eschatology (Akhirah),Fear,Eschological context
16,86,"Tawheed, Disbelief, Hypocrisy, Resurrection, Accountability, Punishment, Lessons from history",Eschatology (Akhirah),Fear,Eschological context
16,87,"Disbelief, Accountability, Punishment, Hypocrisy, Resurrection",Eschatology (Akhirah),Fear,Eschological context
16,88,"Disbelief, Punishment, Hell, Misguidance, Justice",Eschatology (Akhirah),Fear,Eschological context
16,89,"Prophethood, Revelation, Accountability, Resurrection, Guidance, Mercy, Heaven, Hell",Eschatology (Akhirah),Awe,Eschological context
16,90,"Justice, Kindness, Family, Society, Mercy, Guidance",Ethics & Morality (Akhlaq),Anger at Injustice,Moral teaching context
16,91,"Honesty, Justice, Accountability, Faith",Ethics & Morality (Akhlaq),Fear,Moral teaching context
16,92,"Honesty, Hypocrisy, Justice, Accountability, Guidance, Fear",Ethics & Morality (Akhlaq),Fear,Moral teaching context
16,93,"Tawheed, Guidance, Misguidance, Accountability, Power, Wisdom",Faith (Aqeedah),Awe,Spiritual reminder
16,94,"Honesty, Justice, Society, Punishment, Misguidance",Ethics & Morality (Akhlaq),Fear,Moral teaching context
16,95,"Honesty, Faith, Reward, Guidance, Trade",Ethics & Morality (Akhlaq),Fear,Moral teaching context
16,96,"Patience, Reward, Heaven, Mercy, Faith",Eschatology (Akhirah),Hope,Spiritual reminder
16,97,"Faith, Reward, Heaven, Mercy, Kindness, Justice",Eschatology (Akhirah),Hope,Spiritual reminder
16,98,"Revelation, Dua, Guidance, Misguidance, Faith","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Fear,Worship guidance
16,99,"Tawheed, Faith, Guidance, Mercy, Power",Faith (Aqeedah),Comfort,Spiritual reminder
16,100,"Tawheed, Disbelief, Hypocrisy, Power, Misguidance",Faith (Aqeedah),Fear,Spiritual reminder
16,101,"Revelation, Prophethood, Disbelief, Knowledge, Guidance, Misguidance",Faith (Aqeedah),Awe,Makki Revelation
16,102,"Revelation, Prophethood, Guidance, Faith, Mercy, Hope",Faith (Aqeedah),Hope,Spiritual reminder
16,103,"Prophethood, Revelation, Disbelief, Guidance, Misguidance",Faith (Aqeedah),Awe,Makki Revelation
16,104,"Disbelief, Guidance, Misguidance, Punishment, Revelation, Faith",Eschatology (Akhirah),Fear,Spiritual reminder
16,105,"Disbelief, Hypocrisy, Honesty, Revelation, Faith",Ethics & Morality (Akhlaq),Anger at Injustice,Moral teaching context
16,106,"Faith, Disbelief, Hypocrisy, Punishment, Mercy, Guidance, Misguidance",Faith (Aqeedah),Fear,Spiritual reminder
16,107,"Disbelief, Misguidance, Heaven, Hell, Reward, Punishment, Guidance",Eschatology (Akhirah),Fear,Spiritual reminder
16,108,"Disbelief, Misguidance, Hypocrisy, Punishment, Guidance",Faith (Aqeedah),Fear,Spiritual reminder
16,109,"Hell, Punishment, Disbelief, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
16,110,"Patience, Forgiveness, Mercy, Guidance, Hope, Faith",Divine Attributes & Signs (Asma wa Sifat),Hope,Spiritual reminder
16,111,"Accountability, Resurrection, Justice, Reward, Punishment",Eschatology (Akhirah),Fear,Eschological context
16,112,"Gratitude, Disbelief, Punishment, Mercy, Lessons from history, Nations",History & Stories (Qasas al-Anbiya),Fear,Moral teaching context
16,113,"Prophethood, Disbelief, Punishment, Lessons from history, Nations, Prophets",History & Stories (Qasas al-Anbiya),Fear,Historical story
16,114,"Gratitude, Tawheed, Guidance, Mercy",Worship (‘Ibadah),Gratitude,Daily life context
